007070,,09,25,87.8
007070,,09,26,62.3
008411,,01,01,82.9
008411,,01,02,83.3
008411,,01,03,82.9
008411,,01,04,83.6
008411,,01,05,81.7
008411,,01,06,82.7
008411,,01,07,83.3
008411,,01,08,81.9
008411,,01,09,83.1
008411,,01,10,83.0
008411,,01,11,83.1
008411,,01,12,80.8
008411,,01,13,82.8
008411,,01,14,82.1
008411,,01,15,82.5
008411,,01,16,83.0
008411,,01,17,83.1
008411,,01,18,83.5
008411,,01,19,83.0
008411,,01,20,83.2
008411,,01,21,82.7
008411,,01,22,82.8
008411,,01,23,82.9
008411,,01,24,82.6
008411,,01,25,83.2
008411,,01,26,83.2
008411,,01,27,83.1
008411,,01,28,83.1
008411,,01,29,82.8
008411,,01,30,83.1
008411,,01,31,83.3
008411,,02,01,83.0
008411,,02,02,83.0
008411,,02,03,82.6
008411,,02,04,81.9
008411,,02,05,82.1
008411,,02,06,82.0
008411,,02,07,82.2
008411,,02,08,82.0
008411,,02,09,82.1
008411,,02,10,81.8
008411,,02,11,82.0
008411,,02,12,81.4
008411,,02,13,82.2
008411,,02,14,81.8
008411,,02,15,81.4
008411,,02,16,81.3
008411,,02,17,81.4
008411,,02,18,81.7
008411,,02,19,81.6
008411,,02,20,80.9
008411,,02,21,80.8
008411,,02,22,81.3
008411,,02,23,80.7
008411,,02,24,81.1
008411,,02,25,81.2
008411,,02,26,81.4
008411,,02,27,81.7
008411,,02,28,81.6
008411,,03,01,81.7
008411,,03,02,81.1
008411,,03,03,81.0
008411,,03,04,81.4
008411,,03,05,81.0
008411,,03,06,81.5
008411,,03,07,81.0
008411,,03,08,80.1
008411,,03,09,81.2
008411,,03,10,81.1
008411,,03,11,81.5
008411,,03,12,81.3
008411,,03,13,81.1
008411,,03,14,80.6
008411,,03,15,81.3
008411,,03,16,81.3
008411,,03,17,81.1
008411,,03,18,81.3
008411,,03,19,81.9
008411,,03,20,81.5
008411,,03,21,82.1
008411,,03,22,82.4
008411,,03,23,82.2
008411,,03,24,82.3
008411,,03,25,81.1
008411,,03,26,81.6
008411,,03,27,82.4
008411,,03,28,82.1
008411,,03,29,82.5
008411,,03,30,82.7
008411,,03,31,82.9
008411,,04,01,82.4
008411,,04,02,82.5
008411,,04,03,82.8
008411,,04,04,83.4
008411,,04,05,82.6
008411,,04,06,82.2
008411,,04,07,81.7
008411,,04,08,82.7
008411,,04,09,82.7
008411,,04,10,82.5
008411,,04,11,83.4
008411,,04,12,83.8
008411,,04,13,82.9
008411,,04,14,81.9
008411,,04,15,82.7
008411,,04,16,84.0
008411,,04,17,82.2
008411,,04,18,83.8
008411,,04,19,83.5
008411,,04,20,83.9
008411,,04,21,83.5
008411,,04,22,84.1
008411,,04,23,83.9
008411,,04,24,83.2
008411,,04,25,83.9
008411,,04,26,84.1
008411,,04,27,83.4
008411,,04,28,83.9
008411,,04,29,84.8
008411,,04,30,85.0
008411,,05,01,83.6
008411,,05,02,83.6
008411,,05,03,85.4
008411,,05,04,83.8
008411,,05,05,84.6
008411,,05,06,83.7
008411,,05,07,83.5
008411,,05,08,83.0
008411,,05,09,84.0
008411,,05,10,83.7
008411,,05,11,83.6
008411,,05,12,83.9
008411,,05,13,84.0
008411,,05,14,84.0
008411,,05,15,84.4
008411,,05,16,84.2
008411,,05,17,84.6
008411,,05,18,84.6
008411,,05,19,84.8
008411,,05,20,84.0
008411,,05,21,84.2
008411,,05,22,83.9
008411,,05,23,84.4
008411,,05,24,84.6
008411,,05,25,84.1
008411,,05,26,84.8
008411,,05,27,84.2
008411,,05,28,84.8
008411,,05,29,85.5
008411,,05,30,84.8
008411,,05,31,84.3
008411,,06,01,82.8
008411,,06,02,82.7
008411,,06,03,82.8
008411,,06,04,83.8
008411,,06,05,84.7
008411,,06,06,85.8
008411,,06,07,85.3
008411,,06,08,85.4
008411,,06,09,81.9
008411,,06,10,83.5
008411,,06,11,85.0
008411,,06,12,84.4
008411,,06,13,84.5
008411,,06,14,84.4
008411,,06,15,84.3
008411,,06,16,83.2
008411,,06,17,82.3
008411,,06,18,81.5
008411,,06,19,82.3
008411,,06,20,83.6
008411,,06,21,81.1
008411,,06,22,84.1
008411,,06,23,83.3
008411,,06,24,84.1
008411,,06,25,81.8
008411,,06,26,82.5
008411,,06,27,82.3
010020,,06,29,33.4
010020,,06,29,33.4
010020,,06,19,33.4
010020,,06,9,33.4
010020,,06,23,33.4
010020,,06,25,33.4
,94814,06,25,133.4
,94814,06,5,33.4
,94814,06,15,33.4
,94814,06,21,33.4
,94814,06,22,33.4
,94847,06,25,233.4
,94847,06,5,33.4
,94847,06,15,33.4
,94847,06,21,33.4
,94847,06,22,33.4
